ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
55047,"Alfred August ""Al"" Jochim",M,21.0,,,United States,USA,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Individual All-Around,
55047,"Alfred August ""Al"" Jochim",M,21.0,,,United States,USA,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Team All-Around,
55047,"Alfred August ""Al"" Jochim",M,21.0,,,United States,USA,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Horse Vault,
55047,"Alfred August ""Al"" Jochim",M,21.0,,,United States,USA,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Parallel Bars,
55047,"Alfred August ""Al"" Jochim",M,21.0,,,United States,USA,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Horizontal Bar,
55047,"Alfred August ""Al"" Jochim",M,21.0,,,United States,USA,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Rings,
55047,"Alfred August ""Al"" Jochim",M,21.0,,,United States,USA,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Pommelled Horse,
55047,"Alfred August ""Al"" Jochim",M,21.0,,,United States,USA,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Rope Climbing,
55047,"Alfred August ""Al"" Jochim",M,21.0,,,United States,USA,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Side Horse,
55047,"Alfred August ""Al"" Jochim",M,25.0,,,United States,USA,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Individual All-Around,
55047,"Alfred August ""Al"" Jochim",M,25.0,,,United States,USA,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Team All-Around,
55047,"Alfred August ""Al"" Jochim",M,25.0,,,United States,USA,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Horse Vault,
55047,"Alfred August ""Al"" Jochim",M,25.0,,,United States,USA,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Parallel Bars,
55047,"Alfred August ""Al"" Jochim",M,25.0,,,United States,USA,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Horizontal Bar,
55047,"Alfred August ""Al"" Jochim",M,25.0,,,United States,USA,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Rings,
55047,"Alfred August ""Al"" Jochim",M,25.0,,,United States,USA,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Pommelled Horse,
55047,"Alfred August ""Al"" Jochim",M,30.0,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Individual All-Around,
55047,"Alfred August ""Al"" Jochim",M,30.0,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,Silver
55047,"Alfred August ""Al"" Jochim",M,30.0,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Floor Exercise,
55047,"Alfred August ""Al"" Jochim",M,30.0,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Horse Vault,Silver
55047,"Alfred August ""Al"" Jochim",M,30.0,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Parallel Bars,
55047,"Alfred August ""Al"" Jochim",M,30.0,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Horizontal Bar,
55047,"Alfred August ""Al"" Jochim",M,30.0,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Pommelled Horse,
55047,"Alfred August ""Al"" Jochim",M,34.0,,,United States,USA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
55047,"Alfred August ""Al"" Jochim",M,34.0,,,United States,USA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,
55047,"Alfred August ""Al"" Jochim",M,34.0,,,United States,USA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
55047,"Alfred August ""Al"" Jochim",M,34.0,,,United States,USA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
55047,"Alfred August ""Al"" Jochim",M,34.0,,,United States,USA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
55047,"Alfred August ""Al"" Jochim",M,34.0,,,United States,USA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,
55047,"Alfred August ""Al"" Jochim",M,34.0,,,United States,USA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
55047,"Alfred August ""Al"" Jochim",M,34.0,,,United States,USA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
